OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length
1,27006,172.0,3.0,14872,Advance,,115.653577192039,1744189234.37061,355282.663136038
2,27007,37.0,0.0,2136,Ararat,,173.220973782772,592499585.594238,195922.003442792
3,27009,22.0,0.0,2937,Belews Creek,,74.9063670411985,618093097.011353,191244.647442635
4,27011,102.0,1.0,5411,Boonville,,188.504897431159,1489580093.86462,316910.589814884
5,27012,517.0,13.0,28954,Clemmons,,178.55909373489,1176567385.86804,255774.303165276
6,27013,124.0,4.0,6495,Cleveland,,190.916089299461,2066336247.98627,379169.285246239
7,27014,10.0,0.0,957,Cooleemee,,104.493207941484,21479098.032959,22299.1178929161
8,27016,23.0,0.0,1682,Danbury,,136.741973840666,1068209590.0686,211061.413302457
9,27017,252.0,1.0,9499,Dobson,,265.291083271923,2962951682.04883,566348.974052304
10,27018,143.0,2.0,8221,East Bend,,173.944775574748,2331567909.96985,255811.974556888
11,27019,49.0,1.0,4234,Germanton,,115.729806329712,977414017.819214,270248.259734795
12,27020,161.0,2.0,6104,Hamptonville,,263.761467889908,2114111622.36755,316969.486887135
13,27021,227.0,1.0,17979,King,,126.258412592469,1469376476.14172,210392.900707099
14,27022,20.0,0.0,1512,Lawsonville,,132.275132275132,918745327.278442,200803.000966771
15,27023,196.0,1.0,12775,Lewisville,,153.424657534247,807172159.002075,183078.980128527
16,27024,30.0,1.0,2683,Lowgap,,111.815132314573,1265827411.39758,278411.484773322
17,27025,334.0,2.0,11117,Madison,,300.440766393811,2714649364.33142,468723.596670606
18,27027,74.0,0.0,4017,Mayodan,,184.217077420961,548179131.574585,172371.363079245
19,27028,530.0,3.0,28039,Mocksville,,189.022433039695,5475621774.30664,567238.136149725
20,27030,821.0,13.0,37641,Mount Airy,,218.113227597566,4824085732.75671,624989.724929863
21,27040,150.0,1.0,13150,Pfafftown,,114.068441064639,763349953.536133,205025.773716105
22,27041,100.0,0.0,8020,Pilot Mountain,,124.688279301746,1629462738.40637,324677.141569035
23,27042,18.0,1.0,720,Pine Hall,,250.0,290758639.069458,113971.243586081
24,27043,101.0,1.0,6442,Pinnacle,,156.783607575287,1935795027.06067,395674.180712496
25,27045,206.0,3.0,9583,Rural Hall,,214.963998747783,666085549.25769,154538.589918543
26,27046,27.0,1.0,1953,Sandy Ridge,,138.248847926267,1237681699.0647,217125.573744555
27,27047,13.0,0.0,1279,Siloam,,101.641907740422,576295820.815674,144984.839113672
28,27048,175.0,1.0,8902,Stoneville,,196.585037070321,2355000804.03674,325454.766660313
29,27050,48.0,0.0,4084,Tobaccoville,,117.531831537708,703876500.567505,219088.1792708
30,27051,131.0,2.0,8287,Walkertown,,158.078918788464,524680317.775635,151066.808563308
31,27052,166.0,0.0,10061,Walnut Cove,,164.993539409601,2710320219.82117,403203.611044297
32,27053,22.0,0.0,3156,Westfield,,69.7084917617237,2152815477.55933,413464.446930882
33,27054,56.0,0.0,2608,Woodleaf,,214.723926380368,778193820.583862,201172.963339102
34,27055,392.0,2.0,14521,Yadkinville,,269.953859927002,3115987965.39453,403366.49229781
35,27101,372.0,13.0,24321,Winston Salem,,152.954237079067,356085731.400146,162957.922513793
36,27103,735.0,17.0,36071,Winston Salem,,203.764797205511,527249856.672729,146399.561156354
37,27104,542.0,11.0,29383,Winston Salem,,184.460402273423,337669863.683838,130394.134288752
38,27105,1143.0,9.0,40186,Winston Salem,,284.427412531728,950547784.577881,208375.813794777
39,27106,965.0,10.0,51378,Winston Salem,,187.823582077932,787324720.967285,203893.681115083
40,27107,1347.0,16.0,52432,Winston Salem,,256.904180653036,1859279716.41162,319111.813640457
41,27127,919.0,6.0,38510,Winston Salem,,238.639314463776,820319160.873047,213438.375685158
42,27157,11.0,0.0,5,Winston Salem,,,827769.094482422,4216.57245655308
43,27203,872.0,19.0,21876,Asheboro,,398.610349241178,589408161.410522,188062.356665824
44,27205,812.0,12.0,34549,Asheboro,,235.028510231845,6255653514.79199,588011.232518038
45,27207,110.0,1.0,3806,Bear Creek,,289.017341040462,2300194678.82397,473699.237818467
46,27208,46.0,0.0,1691,Bennett,,272.028385570668,1029479783.1405,215638.108979383
47,27209,328.0,22.0,4151,Biscoe,,790.171043122139,1198089302.20734,259108.004034657
48,27212,184.0,0.0,1600,Blanch,,1150.0,1328181375.12305,277007.39975067
49,27214,198.0,1.0,11747,Browns Summit,,168.553673278284,1414533235.94788,324969.092830869
50,27215,1021.0,8.0,44892,Burlington,,227.43473224628,1827823774.30115,298200.358945539
51,27217,1749.0,45.0,39111,Burlington,,447.188770422643,3473433663.33496,513818.51476852
52,27229,233.0,7.0,4014,Candor,,580.468360737419,2747739848.89313,367384.611313313
53,27231,27.0,0.0,2048,Cedar Grove,,131.8359375,987771348.581177,209108.769362036
54,27233,32.0,0.0,3647,Climax,,87.7433506992048,703252829.253662,187154.002103638
55,27235,76.0,0.0,4575,Colfax,,166.120218579235,380654027.583252,148521.339190303
56,27239,150.0,4.0,9629,Denton,,155.779416346453,4319759872.9696,429373.198159064
57,27242,58.0,0.0,2668,Eagle Springs,,217.391304347826,1480408484.01825,321391.030328654
58,27243,74.0,1.0,4665,Efland,,158.628081457663,1142332751.10315,311755.144165646
59,27244,334.0,3.0,16259,Elon,,205.424687865182,1541989025.453,399696.340130384
60,27248,79.0,3.0,4835,Franklinville,,163.391933815926,942909114.352783,215710.992817749
61,27249,209.0,2.0,13355,Gibsonville,,156.495694496443,1679803774.77087,397477.611919868
62,27252,15.0,1.0,2264,Goldston,,66.2544169611307,1142470673.17163,220926.147155476
63,27253,1043.0,6.0,31464,Graham,,331.489956775998,2351372927.78931,521476.969804177
