OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,2253.0,18.0,14872,Advance,,1514.927380312,15149.27380312,1744189234.37061,355282.663136038
2,27007,388.0,3.0,2136,Ararat,,1816.47940074906,18164.7940074906,592499585.594238,195922.003442792
3,27009,488.0,6.0,2937,Belews Creek,,1661.5594143684,16615.594143684,618093097.011353,191244.647442635
4,27011,976.0,10.0,5411,Boonville,,1803.73313620403,18037.3313620403,1489580093.86462,316910.589814884
5,27012,4522.0,67.0,28954,Clemmons,,1561.78766318989,15617.8766318989,1176567385.86804,255774.303165276
6,27013,1129.0,13.0,6495,Cleveland,,1738.26020015396,17382.6020015396,2066336247.98627,379169.285246239
7,27014,197.0,6.0,957,Cooleemee,,2058.51619644723,20585.1619644723,21479098.032959,22299.1178929161
8,27016,333.0,4.0,1682,Danbury,,1979.78596908442,19797.8596908442,1068209590.0686,211061.413302457
9,27017,1869.0,24.0,9499,Dobson,,1967.57553426677,19675.7553426677,2962951682.04883,566348.974052303
10,27018,1322.0,11.0,8221,East Bend,,1608.07687629242,16080.7687629242,2331567909.96985,255811.974556888
11,27019,589.0,5.0,4234,Germanton,,1391.11950873878,13911.1950873878,977414017.819214,270248.259734795
12,27020,1194.0,11.0,6104,Hamptonville,,1956.09436435125,19560.9436435125,2114111622.36755,316969.486887135
13,27021,3063.0,59.0,17979,King,,1703.65426330719,17036.5426330719,1469376476.14172,210392.900707099
14,27022,206.0,3.0,1512,Lawsonville,,1362.43386243386,13624.3386243386,918745327.278442,200803.000966771
15,27023,1721.0,8.0,12775,Lewisville,,1347.16242661448,13471.6242661448,807172159.002075,183078.980128526
16,27024,500.0,5.0,2683,Lowgap,,1863.58553857622,18635.8553857622,1265827411.39758,278411.484773322
17,27025,1693.0,36.0,11117,Madison,,1522.89286678061,15228.9286678061,2714649364.33142,468723.596670607
18,27027,578.0,19.0,4017,Mayodan,,1438.88473985561,14388.8473985561,548179131.574585,172371.363079245
19,27028,4935.0,57.0,28039,Mocksville,,1760.04850386961,17600.4850386961,5475621774.30664,567238.136149726
20,27030,7370.0,157.0,37641,Mount Airy,,1957.97136101591,19579.7136101591,4824085732.75671,624989.724929864
21,27040,1739.0,13.0,13150,Pfafftown,,1322.43346007605,13224.3346007605,763349953.536133,205025.773716105
22,27041,1375.0,11.0,8020,Pilot Mountain,,1714.463840399,17144.63840399,1629462738.40637,324677.141569035
23,27042,102.0,2.0,720,Pine Hall,,1416.66666666667,14166.6666666667,290758639.069458,113971.243586081
24,27043,1047.0,13.0,6442,Pinnacle,,1625.2716547656,16252.716547656,1935795027.06067,395674.180712495
25,27045,1680.0,15.0,9583,Rural Hall,,1753.10445580716,17531.0445580716,666085549.25769,154538.589918543
26,27046,291.0,5.0,1953,Sandy Ridge,,1490.0153609831,14900.153609831,1237681699.0647,217125.573744555
27,27047,202.0,2.0,1279,Siloam,,1579.35887412041,15793.5887412041,576295820.815674,144984.839113672
28,27048,1304.0,18.0,8902,Stoneville,,1464.83936194114,14648.3936194114,2355000804.03674,325454.766660312
29,27050,617.0,8.0,4084,Tobaccoville,,1510.77375122429,15107.7375122429,703876500.567505,219088.1792708
30,27051,1272.0,13.0,8287,Walkertown,,1534.93423434295,15349.3423434295,524680317.775635,151066.808563308
31,27052,1641.0,30.0,10061,Walnut Cove,,1631.05059139251,16310.5059139251,2710320219.82117,403203.611044297
32,27053,441.0,5.0,3156,Westfield,,1397.33840304183,13973.3840304183,2152815477.55933,413464.446930883
33,27054,518.0,11.0,2608,Woodleaf,,1986.1963190184,19861.963190184,778193820.583862,201172.963339102
34,27055,2877.0,38.0,14521,Yadkinville,,1981.26850767853,19812.6850767853,3115987965.39453,403366.492297811
35,27101,2931.0,52.0,24321,Winston Salem,,1205.13136795362,12051.3136795362,356085731.400146,162957.922513792
36,27103,5026.0,51.0,36071,Winston Salem,,1393.36308946245,13933.6308946245,527249856.672729,146399.561156354
37,27104,3919.0,47.0,29383,Winston Salem,,1333.76442160433,13337.6442160433,337669863.683838,130394.134288752
38,27105,6461.0,61.0,40186,Winston Salem,,1607.77385159011,16077.7385159011,950547784.577881,208375.813794777
39,27106,6612.0,70.0,51378,Winston Salem,,1286.93214994745,12869.3214994745,787324720.967285,203893.681115083
40,27107,8162.0,80.0,52432,Winston Salem,,1556.68294171498,15566.8294171498,1859279716.41162,319111.813640457
